254,Rider,33,13,20,.394,-4.59,-3.20,8,12,7,6,4,12,2177,2223,,1340,769,1803,.427,204,647,.315,435,638,.682,330,1170,416,189,124,420,587
255,Robert Morris,32,10,22,.313,-13.27,-7.49,8,10,4,8,5,14,2082,2267,,1285,741,1780,.416,178,645,.276,422,633,.667,303,1042,400,265,127,448,552
256,Rutgers,32,7,25,.219,-6.69,6.79,1,17,7,11,0,11,2166,2571,,1295,785,1878,.418,161,503,.320,435,640,.680,314,1113,377,195,113,441,562
257,Sacramento State,31,14,17,.452,-8.43,-5.12,6,12,10,5,3,11,2210,2237,,1245,790,1784,.443,209,618,.338,421,627,.671,302,1112,434,175,130,365,631
258,Sacred Heart,30,12,18,.400,-12.67,-8.71,11,7,6,5,5,13,2217,2336,,1210,785,1795,.437,169,544,.311,478,695,.688,378,1128,363,190,77,430,625
259,Saint Francis (PA),30,13,17,.433,-12.25,-8.73,9,9,8,6,5,11,2110,2181,,1210,716,1700,.421,218,607,.359,460,662,.695,349,1093,356,140,95,376,515
260,Saint Joseph's,33,26,7,.788,11.49,3.97,13,5,12,4,10,2,2551,2303,,1325,891,1984,.449,236,720,.328,533,741,.719,340,1277,495,168,113,334,524
261,Saint Louis,32,11,21,.344,-2.62,3.60,5,13,7,11,3,8,2106,2305,,1290,724,1726,.419,199,607,.328,459,653,.703,230,1045,426,175,66,435,646
262,Saint Mary's (CA),32,27,5,.844,14.38,0.77,15,3,18,1,7,3,2397,1951,,1280,879,1726,.509,284,687,.413,355,509,.697,289,1126,538,156,110,303,499
263,Saint Peter's,30,14,16,.467,-4.62,-3.92,12,8,9,5,5,10,1966,1987,,1210,700,1660,.422,183,560,.327,383,582,.658,321,1102,357,164,96,392,528
264,Sam Houston State,33,18,15,.545,-5.57,-6.16,12,6,10,4,6,9,2474,2346,,1325,851,1958,.435,255,746,.342,517,747,.692,375,1224,554,182,56,380,726
265,Samford,33,14,19,.424,-5.54,-4.09,4,14,6,7,5,11,2440,2442,,1345,845,1857,.455,177,548,.323,573,798,.718,346,1143,435,226,113,453,691
266,San Diego State,34,25,9,.735,11.24,3.87,16,2,13,4,9,2,2315,2049,,1370,778,1852,.420,197,617,.319,562,817,.688,399,1318,360,192,184,426,590
267,San Diego,30,9,21,.300,-7.65,1.56,4,14,6,7,1,11,1822,2074,,1200,630,1614,.390,192,673,.285,370,559,.662,289,995,328,139,118,408,640
268,San Francisco,30,15,15,.500,-2.74,-0.50,8,10,10,7,5,7,2329,2362,,1220,808,1839,.439,233,659,.354,480,708,.678,389,1181,371,162,88,379,619
269,San Jose State,31,9,22,.290,-5.82,1.32,4,14,7,7,1,13,2186,2290,,1245,756,1783,.424,212,690,.307,462,701,.659,322,1130,449,186,120,429,687
270,Santa Clara,31,11,20,.355,-4.55,1.98,7,11,7,8,3,9,2083,2272,,1265,713,1741,.410,232,675,.344,425,592,.718,279,1047,383,134,83,349,613
271,Savannah State,31,16,15,.516,-15.17,-8.69,9,7,12,2,2,12,1933,2092,,1245,652,1637,.398,196,623,.315,431,659,.654,290,998,323,188,81,458,619
272,Seattle,30,14,16,.467,-9.27,-4.84,7,7,9,7,3,8,1952,2004,,1205,696,1632,.426,182,510,.357,378,568,.665,341,1101,393,182,48,468,542
273,Seton Hall,33,25,8,.758,14.77,7.71,12,6,13,3,7,4,2470,2237,,1325,872,1937,.450,202,573,.353,524,787,.666,425,1321,447,240,154,455,616
274,Siena,33,21,12,.636,2.29,-2.90,13,7,12,2,7,9,2579,2408,,1345,900,1937,.465,206,565,.365,573,792,.723,449,1336,477,202,151,526,695
275,South Alabama,33,14,19,.424,-8.04,-1.87,8,12,8,6,4,11,2284,2426,,1345,784,1917,.409,213,660,.323,503,747,.673,390,1228,350,221,132,482,664
276,South Carolina State,33,19,14,.576,-9.86,-8.19,12,4,10,1,6,11,2411,2407,,1320,856,1894,.452,196,571,.343,503,696,.723,332,1109,422,150,91,380,632
277,South Carolina Upstate,32,10,22,.313,-13.68,-4.29,4,10,7,10,3,12,2315,2495,,1290,860,1914,.449,218,640,.341,377,590,.639,420,1226,484,175,106,449,623
278,South Carolina,32,24,8,.750,12.66,6.24,11,7,15,2,5,5,2429,2208,,1290,820,1920,.427,202,573,.353,587,861,.682,457,1312,424,221,139,444,645
279,South Dakota State,33,26,7,.788,5.49,-1.54,12,4,13,0,8,7,2517,2237,,1320,853,1891,.451,245,686,.357,566,766,.739,370,1251,373,164,82,386,651
280,South Dakota,32,14,18,.438,-5.33,-0.63,5,11,6,6,5,10,2443,2537,,1305,912,1954,.467,201,565,.356,418,596,.701,289,1077,492,209,113,386,662
281,South Florida,33,8,25,.242,-2.66,5.43,4,14,4,14,3,9,2085,2352,,1320,774,1852,.418,133,465,.286,404,612,.660,413,1271,331,150,176,482,588
282,Southeast Missouri State,29,5,24,.172,-15.90,-3.27,2,14,3,10,2,14,1944,2252,,1165,699,1710,.409,154,513,.300,392,612,.641,325,1022,358,218,46,401,514
283,Southeastern Louisiana,33,12,21,.364,-13.34,-7.27,9,9,9,3,2,15,2344,2489,,1325,831,1833,.453,241,648,.372,441,694,.635,336,1140,472,211,89,504,688
284,Southern California,33,21,12,.636,14.03,7.94,9,9,16,2,3,7,2668,2467,,1340,954,2086,.457,260,675,.385,500,737,.678,397,1302,491,209,179,404,576
285,SIU Edwardsville,28,6,22,.214,-10.61,-2.43,3,13,3,11,3,11,1839,2068,,1130,634,1591,.398,158,519,.304,413,587,.704,339,999,303,138,112,376,619
286,Southern Illinois,32,22,10,.688,2.71,-1.38,11,7,12,4,9,4,2360,2229,,1290,828,1827,.453,212,618,.343,492,718,.685,357,1135,371,232,63,438,685
287,Southern Methodist,30,25,5,.833,18.68,4.82,13,5,16,1,7,4,2319,1903,,1200,858,1727,.497,194,462,.420,409,584,.700,396,1183,528,182,137,370,472
288,Southern Mississippi,29,8,21,.276,-10.44,-3.51,5,13,6,9,2,12,1866,2045,,1180,612,1496,.409,257,721,.356,385,540,.713,228,920,353,156,63,386,543
289,Southern Utah,30,6,24,.200,-17.17,-4.02,3,15,3,10,3,13,2119,2429,,1210,739,1682,.439,210,577,.364,431,607,.710,244,926,356,170,86,393,621
290,Southern,34,22,12,.647,-7.17,-9.04,11,7,12,1,6,10,2479,2347,,1360,887,1990,.446,208,590,.353,497,743,.669,356,1225,372,254,121,382,660
291,St. Bonaventure,30,22,8,.733,7.18,2.21,14,4,14,2,8,5,2334,2185,,1210,786,1764,.446,247,656,.377,515,667,.772,330,1069,408,177,128,345,587
292,St. Francis (NY),32,15,17,.469,-10.94,-8.94,11,7,9,5,6,11,2095,2131,,1290,710,1787,.397,240,776,.309,435,652,.667,390,1184,370,191,161,442,600
293,St. John's (NY),32,8,24,.250,-2.05,7.79,1,17,6,10,0,10,2174,2472,,1280,757,1864,.406,206,633,.325,454,714,.636,346,1141,413,202,173,489,680
294,Stanford,30,15,15,.500,8.50,10.85,8,10,12,5,2,8,2088,2111,,1210,704,1653,.426,172,538,.320,508,742,.685,329,1030,350,203,94,355,600
295,Stephen F. Austin,32,27,5,.844,8.47,-6.82,18,0,14,0,9,4,2583,2021,,1280,926,1913,.484,254,691,.368,477,653,.730,378,1128,604,290,114,396,660
296,Stetson,34,12,22,.353,-10.75,-4.32,4,10,6,8,5,13,2729,2807,,1390,962,2124,.453,282,773,.365,523,725,.721,334,1213,519,215,83,418,614
297,Stony Brook,32,26,6,.813,4.25,-6.02,14,2,14,1,11,5,2458,2030,,1285,913,1916,.477,217,585,.371,415,619,.670,401,1266,531,198,147,363,509
298,Syracuse,32,19,13,.594,13.58,9.08,9,9,13,4,3,7,2247,2103,,1295,766,1794,.427,280,776,.361,435,637,.683,378,1129,445,259,128,385,530
